Company,Exchange,Symbol,Industry,Date Added,Notes,
3M,NYSE,MMM,Conglomerate,1976-08-09,as Minnesota Mining and Manufacturing
Alcoa,NYSE,AA,Aluminum,1959-06-01,as Aluminum Company of America
American Express,NYSE,AXP,Consumer finance, 1982-08-30, None
AT&T,NYSE,T,Telecommunication,1999-11-01,as SBC Communications
Bank of America,NYSE,BAC, Banking, 2008-02-19, None
Boeing,	NYSE,BA,Aerospace and defense, 1987-03-12, None
Caterpillar,NYSE,CAT,Construction and mining equipment, 1991-05-06, None
Chevron Corporation,NYSE,CVX,Oil & gas,2008-02-19, None
Cisco Systems,NASDAQ,CSCO,Computer networking,2009-06-08, None
Coca-Cola,NYSE,KO,Beverages,1987-03-12, None
DuPont,NYSE,DD,	Chemical industry,1935-11-20,also 1924-01-22 to 1925-08-31
ExxonMobil,NYSE,XOM,Oil & gas,1928-10-01,as Standard Oil of New Jersey
General Electric,NYSE,GE,Conglomerate,1907-11-07,None
Hewlett-Packard,NYSE,HPQ,Computers and technology,1997-03-17,None
The Home Depot,NYSE,HD,Home improvement retailer,1999-11-01,None
Intel,NASDAQ,INTC,Semiconductors,1999-11-01,None
IBM,NYSE,IBM,Computers and technology,1979-06-29,None
Johnson & Johnson,NYSE,JNJ,Pharmaceuticals,1997-03-17,None
JPMorgan Chase,NYSE,JPM,Banking,1991-05-06,as J.P. Morgan & Company
McDonald's,NYSE	MCD,Fast food,1985-10-30,None
Merck,NYSE,MRK,Pharmaceuticals,1979-06-29,None
Microsoft,NASDAQ,MSFT,Software,1999-11-01,None
Pfizer,	NYSE,PFE,Pharmaceuticals,2004-04-08,None
Procter & Gamble,NYSE,PG,Consumer goods,1932-05-26,None
Travelers,NYSE,TRV,Insurance,2009-06-08,None
UnitedHealth Group,NYSE,UNH,Managed health care,2012-09-24,UnitedHealth Group Inc.(UNH)replaced Kraft Foods (KFT) Inc.
United Technologies Corporation,NYSE,UTX,Conglomerate,1939-03-14,as United Aircraft
Verizon,NYSE,VZ,Telecommunication, 2004-04-08,None
Wal-Mart,NYSE,WMT,Retail,1997-03-17,None
Walt Disney,NYSE,DIS,Broadcasting and entertainment, 1991-05-06,